OldBGC,OldSiteUnitLMH28_26,NewBGC,NewSiteUnit,SiteUnitName
CDFmm,01,CDFmm,101,Fdc – Salal – Dull Oregon-grape
CDFmm,02,CDFmm,102,FdcRa – Heron's-bill mosses – Rock mosses
CDFmm,02,CDFmm,102.1,Typic
CDFmm,02,CDFmm,102.2,Selaginella
CDFmm,NPE,CDFmm,103,Qg – Broad-leaved stonecrop – Heron's-bill mosses
CDFmm,02,CDFmm,104,FdcRa – Salal
CDFmm,02,CDFmm,105,FdcRa – Oceanspray – Oniongrass
CDFmm,03,CDFmm,105,FdcRa – Oceanspray – Oniongrass
CDFmm,NPE,CDFmm,106,Qg – Oceanspray – Polypody ferns
CDFmm,04,CDFmm,110,CwFdc – Dull Oregon-grape – Sword fern
CDFmm,05,CDFmm,111,FdcHw – Red huckleberry – Salal
CDFmm,06,CDFmm,112,CwBg – Sword fern – Foamflower
CDFmm,12,CDFmm,112,CwBg – Sword fern – Foamflower
CDFmm,13,CDFmm,112,CwBg – Sword fern – Foamflower
CDFmm,06,CDFmm,112a,Typic
CDFmm,12,CDFmm,112b,Fluctuating water table
CDFmm,13,CDFmm,112b,Fluctuating water table
CDFmm,09,CDFmm,Fl51,Dr – Salmonberry – Horsetail
CDFmm,08,CDFmm,Fm53,ActDr – Salmonberry – Lily-of-the-Valley
CDFmm,08,CDFmm,Fm54,MbDr – Salmonberry – Sword fern
CDFmm,07,CDFmm,NA,NA
CDFmm,NPE,CDFmm,Wb50,Labrador tea - Bog-laurel - Peat mosses
CDFmm,10,CDFmm,Wb55,Plc - Labrador tea - Peat mosses
CDFmm,10,CDFmm,Wb56,PlcHw - Salal - Peat mosses
CDFmm,11,CDFmm,Ws52,Dr – Skunk cabbage
CDFmm,11,CDFmm,Ws53,Cw – Osoberry – Skunk cabbage
CDFmm,11,CDFmm,Ws57,CwHw - Skunk cabbage
CDFmm,14,CDFmm,Ws58,CwHw – Slough sedge
CDFmm,14,CDFmm,Ws58.1,Typic
CDFmm,14,CDFmm,Ws60,Ss – Pacific crabapple – Slough sedge
CDFmm,14,CDFmm,Ws61,Dr – Slough sedge
CDFmm,14,CDFmm,Ws62,ActAt – Slough sedge
CWHxm1,01,CWHdm1,101,FdcHw – Red huckleberry – Salal
CWHxm1,01,CWHdm1,101a,Typic
